trial_id,scenario,condition,repetition,status,model,settings_sha256,prompt_sha256,guidance_sha256,task_completion,executable_correctness,first_attempt_success,unsupported_api_count,unnecessary_dependency_count,recovery,tool_calls,elapsed_seconds,critical_defect,evidence
initial_http_app__mcp_skill__r1,initial_http_app,mcp_skill,1,passed,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,f42843425da1ff1ef756d9e5be75f08608e7fc9ae0ea24b5762b38a491d492b4,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,2,2,1,0,0,,24,175.544,false,results/pilot3-20260910/initial_http_app__mcp_skill__r1/evidence.json
initial_http_app__mcp_skill__r2,initial_http_app,mcp_skill,2,passed,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,f42843425da1ff1ef756d9e5be75f08608e7fc9ae0ea24b5762b38a491d492b4,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,2,2,1,0,0,,28,171.409,false,results/full-20260910/initial_http_app__mcp_skill__r2/evidence.json
initial_http_app__skill_only__r1,initial_http_app,skill_only,1,passed,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,f42843425da1ff1ef756d9e5be75f08608e7fc9ae0ea24b5762b38a491d492b4,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,2,2,1,0,0,,20,169.230,false,results/full-20260910/initial_http_app__skill_only__r1/evidence.json
initial_http_app__skill_only__r2,initial_http_app,skill_only,2,passed,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,f42843425da1ff1ef756d9e5be75f08608e7fc9ae0ea24b5762b38a491d492b4,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,2,2,1,0,0,,21,211.959,false,results/full-20260910/initial_http_app__skill_only__r2/evidence.json
initial_http_app__website_docs__r1,initial_http_app,website_docs,1,passed,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,f42843425da1ff1ef756d9e5be75f08608e7fc9ae0ea24b5762b38a491d492b4,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,2,2,1,0,0,,15,181.601,false,results/full-20260910/initial_http_app__website_docs__r1/evidence.json
initial_http_app__website_docs__r2,initial_http_app,website_docs,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,f42843425da1ff1ef756d9e5be75f08608e7fc9ae0ea24b5762b38a491d492b4,708ca58c800cadd447aac0a17de88c2a42996555115cc5972783288cadc6b69e,,,,,,,,,,results/full-20260910/initial_http_app__website_docs__r2/evidence.json
document_retrieval__mcp_skill__r1,document_retrieval,mcp_skill,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,595814353ce6af449cadd05fcb9397ee90d9cd5afb85e60f91fec300a001d762,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/document_retrieval__mcp_skill__r1/evidence.json
document_retrieval__mcp_skill__r2,document_retrieval,mcp_skill,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,595814353ce6af449cadd05fcb9397ee90d9cd5afb85e60f91fec300a001d762,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/document_retrieval__mcp_skill__r2/evidence.json
document_retrieval__skill_only__r1,document_retrieval,skill_only,1,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,595814353ce6af449cadd05fcb9397ee90d9cd5afb85e60f91fec300a001d762,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/document_retrieval__skill_only__r1/evidence.json
document_retrieval__skill_only__r2,document_retrieval,skill_only,2,error,gpt-6-astra,2e091eb4d143a60d586e72175f884aa643e9ef3668f04337bb0ef07e4c3b7a69,595814353ce6af449cadd05fcb9397ee90d9cd5afb85e60f91fec300a001d762,8c9fec8e801ed6d0f66667ab6086ed7bc81d3fb85cbf8e7542546da052020966,,,,,,,,,,results/full-20260910/document_retrieval__skill_only__r2/evidence.json
